Object::connect: No such slot HQApplication::UpdateMenus() in HQApplication.cpp:464
Object::connect: No such slot HQApplication::UpdateMenus() in HQApplication.cpp:473


Warning (60/203) from HOOPS routine 'Update_Display' -

	  This copy of HOOPS has not been licensed for commercial
	  development or distribution purposes.	 Copying is prohibited.
	  To obtain rights to develop and/or distribute applications
	  based on HOOPS, please contact Tech Soft 3D at
	  510-883-2180 or email hoops@techsoft3d.com
Time for 63000 slices:2112.142546
Time for 64000 slices:2112.605467
Time for 65000 slices:2113.124365
Time for 66000 slices:2113.595037
Time for 67000 slices:2114.070768
Time for 68000 slices:2114.569389
Time for 69000 slices:2115.174650
Time for 70000 slices:2115.683841
Time for 71000 slices:2116.238302
Time for 72000 slices:2116.745156
Time for 73000 slices:2117.263886
Time for 74000 slices:2117.828571
Time for 75000 slices:2118.367371
Time for 76000 slices:2118.934638
Time for 77000 slices:2119.530486
Time for 78000 slices:2156.127876
Time for 79000 slices:2156.561612
Time for 80000 slices:2158.646841
Time for 81000 slices:2166.945212
Time for 82000 slices:2167.657907
Time for 83000 slices:2168.202376
Time for 84000 slices:2168.759071
Time for 85000 slices:2169.215321
Time for 86000 slices:2169.647170
Time for 87000 slices:2170.089755
Time for 88000 slices:2170.590382
Time for 89000 slices:2171.054667
Time for 90000 slices:2171.502769
Time for 91000 slices:2171.935674
Time for 92000 slices:2172.393894
Time for 93000 slices:2172.779435
Time for 94000 slices:2173.132629
Time for 95000 slices:2173.551416
Time for 96000 slices:2173.953255
Time for 97000 slices:2174.412185
Time for 98000 slices:2174.948523
Time for 99000 slices:2175.509668
Time for 100000 slices:2176.003511
Time for 101000 slices:2176.519878
Time for 102000 slices:2176.900957
Time for 103000 slices:2177.318505
Time for 104000 slices:2177.779485
Time for 105000 slices:2178.160449
Time for 106000 slices:2202.359319
Time for 107000 slices:2202.712899
Time for 108000 slices:2203.068610
Time for 109000 slices:2203.416471
Time for 110000 slices:2203.724628
Time for 111000 slices:2204.037159
Time for 112000 slices:2204.435335
Time for 113000 slices:2204.990862
Time for 114000 slices:2205.414290
Time for 115000 slices:2205.748979
Time for 116000 slices:2206.088022
Time for 117000 slices:2206.428251
Time for 118000 slices:2206.767510
Time for 119000 slices:2207.136478
Time for 120000 slices:2207.489999
Time for 121000 slices:2207.865095
Time for 122000 slices:2208.285178
Time for 123000 slices:2208.661127
Time for 124000 slices:2209.028285
Time for 125000 slices:2209.427018
Time for 126000 slices:2209.834994
Time for 127000 slices:2210.216477
Time for 128000 slices:2210.680006
Time for 129000 slices:2211.098438
Time for 130000 slices:2211.478333
Time for 131000 slices:2235.426880
Time for 132000 slices:2235.839285
Time for 133000 slices:2236.156288
Time for 134000 slices:2236.544811
Time for 135000 slices:2236.909097
Time for 136000 slices:2237.428943
Time for 137000 slices:2237.767090
Time for 138000 slices:2238.089692
Time for 139000 slices:2238.483327
Time for 140000 slices:2238.884967
Time for 141000 slices:2239.306602
Time for 142000 slices:2239.649638
Time for 143000 slices:2240.072164
Time for 144000 slices:2240.442723
Time for 145000 slices:2240.764015
Time for 146000 slices:2241.133359
Time for 147000 slices:2241.490424
Time for 148000 slices:2241.876937
Time for 149000 slices:2242.264171
Time for 150000 slices:2242.659894
Time for 151000 slices:2243.050630
Time for 152000 slices:2243.411512
Time for 153000 slices:2243.800509
Time for 154000 slices:2244.225564
Time for 155000 slices:2244.670233
Time for 156000 slices:2245.052889
Time for 157000 slices:2269.210114
Time for 158000 slices:2269.590458
Time for 159000 slices:2269.943452
Time for 160000 slices:2270.309559
Time for 161000 slices:2270.652858
Time for 162000 slices:2271.026674
Time for 163000 slices:2271.369865
Time for 164000 slices:2271.720402
Time for 165000 slices:2272.090278
Time for 166000 slices:2272.484593
Time for 167000 slices:2272.865800
Time for 168000 slices:2273.227567
Time for 169000 slices:2273.602757
Time for 170000 slices:2273.960621
Time for 171000 slices:2274.341324
Time for 172000 slices:2274.732664
Time for 173000 slices:2275.117241
Time for 174000 slices:2275.535218
Time for 175000 slices:2275.936663
Time for 176000 slices:2276.326668
Time for 177000 slices:2276.742247
Time for 178000 slices:2277.162644
Time for 179000 slices:2277.569716
Time for 180000 slices:2278.007667
Time for 181000 slices:2302.070951
Time for 182000 slices:2302.427224
Time for 183000 slices:2302.767315
Time for 184000 slices:2303.123759
Time for 185000 slices:2303.491450
Time for 186000 slices:2303.874182
Time for 187000 slices:2304.278732
Time for 188000 slices:2304.705779
Time for 189000 slices:2305.119987
Time for 190000 slices:2305.506284
Time for 191000 slices:2305.891340
Time for 192000 slices:2306.297563
Time for 193000 slices:2306.725532
Time for 194000 slices:2307.125128
Time for 195000 slices:2307.498821
Time for 196000 slices:2307.882493
Time for 197000 slices:2308.268995
Time for 198000 slices:2308.669182
Time for 199000 slices:2309.093204
Time for 200000 slices:2309.459892
Time for 201000 slices:2309.824938
Time for 202000 slices:2310.180069
Time for 203000 slices:2310.548502
Time for 204000 slices:2310.930297
Time for 205000 slices:2311.299346
Time for 206000 slices:2311.673515
Time for 207000 slices:2335.824007
Time for 208000 slices:2336.137175
Time for 209000 slices:2336.458777
Time for 210000 slices:2336.746873
Time for 211000 slices:2337.037633
Time for 212000 slices:2337.336714
Time for 213000 slices:2337.629902
Time for 214000 slices:2337.928243
Time for 215000 slices:2338.218797
Time for 216000 slices:2338.511466
Time for 217000 slices:2338.799047
Time for 218000 slices:2339.099980
Time for 219000 slices:2339.423696
Time for 220000 slices:2339.736541
Time for 221000 slices:2340.048728
Time for 222000 slices:2340.362227
Time for 223000 slices:2340.685258
Time for 224000 slices:2341.029884
Time for 225000 slices:2341.386032
Time for 226000 slices:2341.726422
Time for 227000 slices:2342.057290
Time for 228000 slices:2342.374634
Time for 229000 slices:2342.726564
Time for 230000 slices:2343.087738
Time for 231000 slices:2366.618220
Time for 232000 slices:2366.894624
Time for 233000 slices:2367.168294
Time for 234000 slices:2367.469735
Time for 235000 slices:2367.956182
Time for 236000 slices:2368.281663
Time for 237000 slices:2368.602360
Time for 238000 slices:2368.951859
Time for 239000 slices:2369.329439
Time for 240000 slices:2369.688051
Time for 241000 slices:2370.051208
Time for 242000 slices:2370.431758
Time for 243000 slices:2370.799383
Time for 244000 slices:2371.188138
Time for 245000 slices:2371.697578
Time for 246000 slices:2372.075292
Time for 247000 slices:2372.456116
Time for 248000 slices:2372.864755
Time for 249000 slices:2374.032608
Time for 250000 slices:2374.491458
Time for 251000 slices:2374.903329
Time for 252000 slices:2375.312778
Time for 253000 slices:2375.698550
Time for 254000 slices:2376.087933
Time for 255000 slices:2400.107044
Time for 256000 slices:2400.464103
Time for 257000 slices:2400.801027
Time for 258000 slices:2401.145583
Time for 259000 slices:2401.516150
Time for 260000 slices:2401.977289
Time for 261000 slices:2402.363794
Time for 262000 slices:2402.682832
Time for 263000 slices:2403.012128
Time for 264000 slices:2403.344615
Time for 265000 slices:2403.668613
Time for 266000 slices:2404.032028
Time for 267000 slices:2404.405284
Time for 268000 slices:2404.764260
Time for 269000 slices:2405.139894
Time for 270000 slices:2405.524248
Time for 271000 slices:2405.918024
Time for 272000 slices:2406.342047
Time for 273000 slices:2406.723153
Time for 274000 slices:2407.136154
Time for 275000 slices:2407.554230
Time for 276000 slices:2407.958632
Time for 277000 slices:2408.369872
Time for 278000 slices:2408.785225
Time for 279000 slices:2409.243425
Time for 280000 slices:2409.650350
Time for 281000 slices:2433.637016
Time for 282000 slices:2433.992374
Time for 283000 slices:2434.332263
Time for 284000 slices:2434.684317
Time for 285000 slices:2435.055267
Time for 286000 slices:2435.428129
Time for 287000 slices:2435.827126
Time for 288000 slices:2436.204471
Time for 289000 slices:2436.570676
Time for 290000 slices:2436.900738
Time for 291000 slices:2437.295745
Time for 292000 slices:2437.751284
Time for 293000 slices:2438.143210
Time for 294000 slices:2438.495805
Time for 295000 slices:2438.888792
Time for 296000 slices:2439.304981
Time for 297000 slices:2439.689128
Time for 298000 slices:2440.085739
Time for 299000 slices:2440.494748
Time for 300000 slices:2440.901598
Time for 301000 slices:2441.331553
Time for 302000 slices:2441.732501
Time for 303000 slices:2443.453015
Time for 304000 slices:2473.244539
Time for 305000 slices:2488.317982
Time for 306000 slices:2490.301642
Time for 307000 slices:2491.338290
Time for 308000 slices:2492.361516
Time for 309000 slices:2493.354772
Time for 310000 slices:2494.196464
Time for 311000 slices:2494.903847
Time for 312000 slices:2495.620441
Time for 313000 slices:2496.325567
Time for 314000 slices:2497.034230
Time for 315000 slices:2497.779606
Time for 316000 slices:2499.700881
Time for 317000 slices:2505.582588
Time for 318000 slices:2519.107372
Time for 319000 slices:2521.280152
Time for 320000 slices:2522.437457
Time for 321000 slices:2523.595315
Time for 322000 slices:2524.713451
Time for 323000 slices:2525.667857
Time for 324000 slices:2526.480219
Time for 325000 slices:2527.328688
Time for 326000 slices:2553.161778
Time for 327000 slices:2553.913285
Time for 328000 slices:2554.614032
Time for 329000 slices:2555.333799
Time for 330000 slices:2556.075450
Time for 331000 slices:2556.748084
Time for 332000 slices:2557.223477
Time for 333000 slices:2557.709613
Time for 334000 slices:2558.247081
Time for 335000 slices:2558.811417
Time for 336000 slices:2559.339824
Time for 337000 slices:2559.897235
Time for 338000 slices:2560.455362
Time for 339000 slices:2561.016387
Time for 340000 slices:2561.585301
Time for 341000 slices:2562.166678
Time for 342000 slices:2562.758526
Time for 343000 slices:2563.352951
Time for 344000 slices:2563.966042
Time for 345000 slices:2564.552182
Time for 346000 slices:2565.166376
Time for 347000 slices:2565.772875
Time for 348000 slices:2566.280514
Time for 349000 slices:2589.976948
Time for 350000 slices:2590.393282
Time for 351000 slices:2590.777502
Time for 352000 slices:2591.167266
Time for 353000 slices:2591.566436
Time for 354000 slices:2591.979628
Time for 355000 slices:2592.393388
Time for 356000 slices:2592.829278
Time for 357000 slices:2593.243107
Time for 358000 slices:2593.661178
Time for 359000 slices:2594.085743
Time for 360000 slices:2594.530891
Time for 361000 slices:2594.981625
Time for 362000 slices:2595.419762
Time for 363000 slices:2595.871394
Time for 364000 slices:2596.325169
Time for 365000 slices:2596.771709
Time for 366000 slices:2597.237628
Time for 367000 slices:2597.726683
Time for 368000 slices:2598.226637
Time for 369000 slices:2598.716281
Time for 370000 slices:2599.215292
Time for 371000 slices:2599.695279
Time for 372000 slices:2600.190445
Time for 373000 slices:2624.137590
Time for 374000 slices:2624.585538
Time for 375000 slices:2625.021393
Time for 376000 slices:2625.446566
Time for 377000 slices:2625.880891
Time for 378000 slices:2626.336923
Time for 379000 slices:2626.774464
Time for 380000 slices:2627.237661
Time for 381000 slices:2627.642474
Time for 382000 slices:2628.082648
Time for 383000 slices:2628.473410
Time for 384000 slices:2628.858879
Time for 385000 slices:2629.241770
Time for 386000 slices:2629.636698
Time for 387000 slices:2630.026217
Time for 388000 slices:2630.437625
Time for 389000 slices:2630.849378
Time for 390000 slices:2631.251361
Time for 391000 slices:2631.646198
Time for 392000 slices:2632.049211
Time for 393000 slices:2632.460309
Time for 394000 slices:2632.879871
Time for 395000 slices:2633.302729
Time for 396000 slices:2633.824510
Time for 397000 slices:2634.268131
Time for 398000 slices:2658.251243
Time for 399000 slices:2658.608538
Time for 400000 slices:2658.962353
Time for 401000 slices:2659.308729
Time for 402000 slices:2659.667763
Time for 403000 slices:2660.035861
Time for 404000 slices:2660.413925
Time for 405000 slices:2660.786170
Time for 406000 slices:2661.160382
Time for 407000 slices:2661.550667
Time for 408000 slices:2661.932212
Time for 409000 slices:2662.322924
Time for 410000 slices:2662.734094
Time for 411000 slices:2663.154591
Time for 412000 slices:2663.581510
Time for 413000 slices:2663.998118
Time for 414000 slices:2664.398653
Time for 415000 slices:2664.811396
Time for 416000 slices:2665.240008
Time for 417000 slices:2665.666902
Time for 418000 slices:2689.310956
Time for 419000 slices:2689.681568
Time for 420000 slices:2690.039704
Time for 421000 slices:2690.397225
Time for 422000 slices:2690.769540
Time for 423000 slices:2691.147277
Time for 424000 slices:2691.529960
Time for 425000 slices:2691.903778
Time for 426000 slices:2692.285412
Time for 427000 slices:2692.674164
Time for 428000 slices:2693.050613
Time for 429000 slices:2693.446421
Time for 430000 slices:2693.850671
Time for 431000 slices:2694.249620
Time for 432000 slices:2694.651842
Time for 433000 slices:2695.075055
Time for 434000 slices:2695.523491
Time for 435000 slices:2695.944713
Time for 436000 slices:2696.386461
Time for 437000 slices:2696.850887
Time for 438000 slices:2697.304377
Time for 439000 slices:2697.756075
Time for 440000 slices:2698.248500
Time for 441000 slices:2722.071660
Time for 442000 slices:2722.447489
Time for 443000 slices:2722.822297
Time for 444000 slices:2723.205564
Time for 445000 slices:2723.580315
Time for 446000 slices:2723.977501
Time for 447000 slices:2724.313220
Time for 448000 slices:2724.607615
Time for 449000 slices:2724.931231
Time for 450000 slices:2725.241845
Time for 451000 slices:2725.549947
Time for 452000 slices:2725.863333
Time for 453000 slices:2726.186948
Time for 454000 slices:2726.514820
Time for 455000 slices:2726.863855
Time for 456000 slices:2727.186798
Time for 457000 slices:2727.531323
Time for 458000 slices:2727.909106
Time for 459000 slices:2728.287618
Time for 460000 slices:2728.618889
Time for 461000 slices:2728.963370
Time for 462000 slices:2729.319631
Time for 463000 slices:2729.695355
Time for 464000 slices:2730.036351
Time for 465000 slices:2753.814222
Time for 466000 slices:2754.121082
Time for 467000 slices:2754.440292
Time for 468000 slices:2754.755384
Time for 469000 slices:2755.073366
Time for 470000 slices:2755.407299
Time for 471000 slices:2755.734347
Time for 472000 slices:2756.063193
Time for 473000 slices:2756.410760
Time for 474000 slices:2756.797306
Time for 475000 slices:2757.307443
Time for 476000 slices:2758.053515
Time for 477000 slices:2758.391477
Time for 478000 slices:2758.737447
Time for 479000 slices:2759.096483
Time for 480000 slices:2759.477969
Time for 481000 slices:2759.824757
Time for 482000 slices:2760.154913
Time for 483000 slices:2760.474447
Time for 484000 slices:2760.794070
Time for 485000 slices:2784.423963
Time for 486000 slices:2784.723345
Time for 487000 slices:2785.001442
Time for 488000 slices:2785.281470
Time for 489000 slices:2785.580881
Time for 490000 slices:2785.868911
Time for 491000 slices:2786.168007
Time for 492000 slices:2786.459005
Time for 493000 slices:2786.759608
Time for 494000 slices:2787.066245
Time for 495000 slices:2787.384424
Time for 496000 slices:2787.707238
Time for 497000 slices:2788.020669
Time for 498000 slices:2788.355836
Time for 499000 slices:2788.679569
Time for 500000 slices:2789.002160
Time for 501000 slices:2789.353123
Time for 502000 slices:2789.686911
Time for 503000 slices:2790.014684
Time for 504000 slices:2790.374328
Time for 505000 slices:2790.730622
Time for 506000 slices:2791.082121
Time for 507000 slices:2791.439882
Time for 508000 slices:2791.829220
Time for 509000 slices:2815.807257
Time for 510000 slices:2816.124022
Time for 511000 slices:2816.430868
Time for 512000 slices:2816.733413
Time for 513000 slices:2817.035443
Time for 514000 slices:2817.337430
Time for 515000 slices:2817.651545
Time for 516000 slices:2817.968066
Time for 517000 slices:2818.289700
Time for 518000 slices:2818.604921
Time for 519000 slices:2818.905529
Time for 520000 slices:2819.226064
Time for 521000 slices:2819.549146
Time for 522000 slices:2819.860910
Time for 523000 slices:2820.171349
Time for 524000 slices:2820.491063
Time for 525000 slices:2820.813597
Time for 526000 slices:2821.149093
Time for 527000 slices:2821.484560
Time for 528000 slices:2821.836198
Time for 529000 slices:2822.184305
Time for 530000 slices:2822.633487
Time for 531000 slices:2823.000884
Time for 532000 slices:2823.369525
Time for 533000 slices:2847.288319
Time for 534000 slices:2847.591591
Time for 535000 slices:2847.887730
Time for 536000 slices:2848.187683
Time for 537000 slices:2848.471760
Time for 538000 slices:2848.768764
Time for 539000 slices:2849.071878
Time for 540000 slices:2849.382256
Time for 541000 slices:2849.693943
Time for 542000 slices:2850.006100
Time for 543000 slices:2850.328724
Time for 544000 slices:2850.648588
Time for 545000 slices:2850.979175
Time for 546000 slices:2851.303096
Time for 547000 slices:2851.740332
Time for 548000 slices:2852.106205
Time for 549000 slices:2852.471245
Time for 550000 slices:2852.847023
Time for 551000 slices:2853.224253
Time for 552000 slices:2853.616456
Time for 553000 slices:2877.383360
Time for 554000 slices:2877.689346
Time for 555000 slices:2877.974213
Time for 556000 slices:2878.257144
Time for 557000 slices:2878.549285
Time for 558000 slices:2878.858131
Time for 559000 slices:2879.158370
Time for 560000 slices:2879.460488
Time for 561000 slices:2879.776795
Time for 562000 slices:2880.108082
Time for 563000 slices:2880.420514
Time for 564000 slices:2880.734561
Time for 565000 slices:2881.041905
Time for 566000 slices:2881.348507
Time for 567000 slices:2881.661365
Time for 568000 slices:2881.969389
Time for 569000 slices:2882.309588
Time for 570000 slices:2882.660635
Time for 571000 slices:2882.999978
Time for 572000 slices:2883.360549
Time for 573000 slices:2883.718197
Time for 574000 slices:2884.064292
Time for 575000 slices:2884.427001
Time for 576000 slices:2884.789699
Time for 577000 slices:2885.178369
Time for 578000 slices:2908.972270
Time for 579000 slices:2909.290394
Time for 580000 slices:2909.595042
Time for 581000 slices:2909.912651
Time for 582000 slices:2910.235393
Time for 583000 slices:2910.559030
Time for 584000 slices:2910.881707
Time for 585000 slices:2911.204605
Time for 586000 slices:2911.534089
Time for 587000 slices:2911.878275
Time for 588000 slices:2912.227376
Time for 589000 slices:2912.577675
Time for 590000 slices:2912.941728
Time for 591000 slices:2913.259795
Time for 592000 slices:2913.580733
Time for 593000 slices:2913.919959
Time for 594000 slices:2914.257953
Time for 595000 slices:2914.606274
Time for 596000 slices:2914.943889
Time for 597000 slices:2915.299864
Time for 598000 slices:2915.650235
Time for 599000 slices:2916.016541
Time for 600000 slices:2916.398847
Time for 601000 slices:2940.087847
Time for 602000 slices:2940.438443
Time for 603000 slices:2940.763364
Time for 604000 slices:2941.065133
Time for 605000 slices:2941.374900
Time for 606000 slices:2941.682285
Time for 607000 slices:2941.987537
Time for 608000 slices:2942.303991
Time for 609000 slices:2942.611847
Time for 610000 slices:2942.941345
Time for 611000 slices:2943.275729
Time for 612000 slices:2943.629278
Time for 613000 slices:2943.976072
Time for 614000 slices:2944.322302
Time for 615000 slices:2944.675308
Time for 616000 slices:2945.019909
Time for 617000 slices:2945.361537
Time for 618000 slices:2945.733897
Time for 619000 slices:2946.121246
Time for 620000 slices:2946.529896
Time for 621000 slices:2946.911656
Time for 622000 slices:2970.499299
Time for 623000 slices:2970.823940
Time for 624000 slices:2971.121401
Time for 625000 slices:2971.412493
Time for 626000 slices:2971.714110
Time for 627000 slices:2972.013011
Time for 628000 slices:2972.324469
Time for 629000 slices:2972.647001
Time for 630000 slices:2972.974545
Time for 631000 slices:2973.306823
Time for 632000 slices:2973.640753
Time for 633000 slices:2973.978083
Time for 634000 slices:2974.310951
Time for 635000 slices:2974.650278
Time for 636000 slices:2975.013067
Time for 637000 slices:2975.379573
Time for 638000 slices:2975.739069
Time for 639000 slices:2976.101017
Time for 640000 slices:2976.455114
Time for 641000 slices:2976.819189
Time for 642000 slices:2977.186533
Time for 643000 slices:2977.589861
Time for 644000 slices:2977.980841
Time for 645000 slices:3001.964709
Time for 646000 slices:3002.279289
Time for 647000 slices:3002.582443
Time for 648000 slices:3002.894823
Time for 649000 slices:3003.198390
Time for 650000 slices:3003.491106
Time for 651000 slices:3003.796481
Time for 652000 slices:3004.108700
Time for 653000 slices:3004.425915
Time for 654000 slices:3004.748158
Time for 655000 slices:3005.085920
Time for 656000 slices:3005.438716
Time for 657000 slices:3005.793520
Time for 658000 slices:3006.130338
Time for 659000 slices:3006.445672
Time for 660000 slices:3006.783151
Time for 661000 slices:3007.118328
Time for 662000 slices:3007.462462
Time for 663000 slices:3007.799028
Time for 664000 slices:3008.159544
Time for 665000 slices:3008.520515
Time for 666000 slices:3008.880793
Time for 667000 slices:3009.242872
Time for 668000 slices:3033.026430
Time for 669000 slices:3033.325856
Time for 670000 slices:3033.609149
Time for 671000 slices:3033.900400
Time for 672000 slices:3034.213374
Time for 673000 slices:3034.512211
Time for 674000 slices:3034.845237
Time for 675000 slices:3035.206606
Time for 676000 slices:3035.515896
Time for 677000 slices:3035.833551
Time for 678000 slices:3036.141060
Time for 679000 slices:3036.459564
Time for 680000 slices:3036.800070
Time for 681000 slices:3037.133650
Time for 682000 slices:3037.489000
Time for 683000 slices:3037.823907
Time for 684000 slices:3038.191850
Time for 685000 slices:3038.564554
Time for 686000 slices:3038.929000
Time for 687000 slices:3039.279835
Time for 688000 slices:3039.627032
Time for 689000 slices:3039.982985
Time for 690000 slices:3040.347793
Time for 691000 slices:3064.077710
Time for 692000 slices:3064.377239
Time for 693000 slices:3064.694625
Time for 694000 slices:3065.049925
Time for 695000 slices:3065.374008
Time for 696000 slices:3065.689886
Time for 697000 slices:3066.004579
Time for 698000 slices:3066.297216
Time for 699000 slices:3066.597191
Time for 700000 slices:3066.901318
Time for 701000 slices:3067.215311
Time for 702000 slices:3067.536425
Time for 703000 slices:3067.875945
Time for 704000 slices:3068.224968
Time for 705000 slices:3068.560611
Time for 706000 slices:3068.891740
Time for 707000 slices:3069.232366
Time for 708000 slices:3069.596671
Time for 709000 slices:3069.962206
Time for 710000 slices:3070.338032
Time for 711000 slices:3070.704793
Time for 712000 slices:3071.106670
Time for 713000 slices:3071.497011
Time for 714000 slices:3071.888858
Time for 715000 slices:3095.856134
Time for 716000 slices:3096.166361
Time for 717000 slices:3096.473268
Time for 718000 slices:3096.777092
Time for 719000 slices:3097.073617
Time for 720000 slices:3097.398792
Time for 721000 slices:3097.740170
Time for 722000 slices:3098.088442
Time for 723000 slices:3098.414178
Time for 724000 slices:3098.759649
Time for 725000 slices:3099.125719
Time for 726000 slices:3099.470738
Time for 727000 slices:3099.805659
Time for 728000 slices:3100.164478
Time for 729000 slices:3100.510974
Time for 730000 slices:3100.859358
Time for 731000 slices:3101.241111
Time for 732000 slices:3101.623859
Time for 733000 slices:3101.991434
Time for 734000 slices:3102.379638
Time for 735000 slices:3126.062601
Time for 736000 slices:3126.343680
Time for 737000 slices:3126.599496
Time for 738000 slices:3126.859203
Time for 739000 slices:3127.122799
Time for 740000 slices:3127.389021
Time for 741000 slices:3127.666222
Time for 742000 slices:3127.938954
Time for 743000 slices:3128.263133
Time for 744000 slices:3128.566579
Time for 745000 slices:3128.854655
Time for 746000 slices:3129.155375
Time for 747000 slices:3129.446316
Time for 748000 slices:3129.748673
Time for 749000 slices:3130.055762
Time for 750000 slices:3130.367068
Time for 751000 slices:3130.694391
Time for 752000 slices:3131.030052
Time for 753000 slices:3131.367910
Time for 754000 slices:3131.687999
Time for 755000 slices:3132.033934
Time for 756000 slices:3132.402330
Time for 757000 slices:3132.769062
Time for 758000 slices:3133.118924
Time for 759000 slices:3133.464785
Time for 760000 slices:3133.818661
Time for 761000 slices:3134.188345
Time for 762000 slices:3158.271291
Time for 763000 slices:3158.581586
Time for 764000 slices:3158.861312
Time for 765000 slices:3159.160847
Time for 766000 slices:3159.449365
Time for 767000 slices:3159.740736
Time for 768000 slices:3160.030043
Time for 769000 slices:3160.317248
Time for 770000 slices:3160.618321
Time for 771000 slices:3160.936372
Time for 772000 slices:3161.268579
Time for 773000 slices:3161.582771
Time for 774000 slices:3161.892293
Time for 775000 slices:3162.196473
Time for 776000 slices:3162.536584
Time for 777000 slices:3162.862734
Time for 778000 slices:3163.175319
Time for 779000 slices:3163.499259
Time for 780000 slices:3163.850886
Time for 781000 slices:3164.190829
Time for 782000 slices:3164.547767
Time for 783000 slices:3164.906489
Time for 784000 slices:3188.487569
Time for 785000 slices:3188.791639
Time for 786000 slices:3189.069661
Time for 787000 slices:3189.361092
Time for 788000 slices:3189.637910
Time for 789000 slices:3189.919477
Time for 790000 slices:3190.212501
Time for 791000 slices:3190.520682
Time for 792000 slices:3190.822615
Time for 793000 slices:3191.114011
Time for 794000 slices:3191.422299
Time for 795000 slices:3191.739049
Time for 796000 slices:3192.060287
Time for 797000 slices:3192.397933
Time for 798000 slices:3192.745040
Time for 799000 slices:3193.101047
Time for 800000 slices:3193.459799
Time for 801000 slices:3193.832206
Time for 802000 slices:3194.182582
Time for 803000 slices:3194.538002
Time for 804000 slices:3194.897749
Time for 805000 slices:3195.269874
Time for 806000 slices:3218.961794
Time for 807000 slices:3219.250979
Time for 808000 slices:3219.532719
Time for 809000 slices:3219.808497
Time for 810000 slices:3220.109608
Time for 811000 slices:3220.451956
Time for 812000 slices:3220.754854
Time for 813000 slices:3221.046969
Time for 814000 slices:3221.341476
Time for 815000 slices:3221.650420
Time for 816000 slices:3221.950714
Time for 817000 slices:3222.259381
Time for 818000 slices:3222.569171
Time for 819000 slices:3222.888113
Time for 820000 slices:3223.227857
Time for 821000 slices:3223.569175
Time for 822000 slices:3223.909440
Time for 823000 slices:3224.253960
Time for 824000 slices:3224.592454
Time for 825000 slices:3224.947336
Time for 826000 slices:3225.314149
Time for 827000 slices:3225.706391
Time for 828000 slices:3226.065378
Time for 829000 slices:3226.417375
Time for 830000 slices:3226.781498
Time for 831000 slices:3227.181003
Time for 832000 slices:3251.139697
Time for 833000 slices:3251.443026
